gene	neg.1	neg.2	day1.1	day1.2
DarkCorner	3.04	3.04	7.21	2.87
DarkCorner	3.05	3.03	7.26	2.86
DarkCorner	3.06	3.02	7.31	2.85
DarkCorner	3.07	3.01	7.35	2.83
DarkCorner	3.09	3	7.38	2.81
DarkCorner	3.1	2.99	7.41	2.79
DarkCorner	3.12	2.97	7.43	2.77
DarkCorner	3.13	2.95	9.9	2.74
DarkCorner	3.15	2.94	8.45	2.71
GE_BrightCorner	101000	151000	104000	137000
DarkCorner	7.02	2.63	6.51	2.63
DarkCorner	7.13	2.65	6.66	2.65
DarkCorner	7.24	2.67	6.79	2.67
DarkCorner	7.31	2.69	6.93	2.69
DarkCorner	7.38	2.71	7.03	2.71
DarkCorner	7.42	2.72	7.13	2.73
DarkCorner	7.45	2.74	7.2	2.74
DarkCorner	7.47	2.75	7.27	2.76
DarkCorner	7.47	2.76	7.32	2.77
DarkCorner	7.45	2.77	7.35	2.78
NM_006252	25	42	22.3	30.8
NM_014582	7.38	4.31	13.3	2.8
ENST00000330330	28.8	35.4	24.9	31.8
NM_004849	3260	3580	2210	3230
NM_003914	158	372	231	669
THC2322759	7.11	2.83	7.33	2.82
AK090766	21.7	16.4	7.3	18.6
NM_014445	230	468	72.5	221
NM_000898	6.82	2.85	7.21	2.83
NM_022900	52.6	92.2	81.6	111
NM_000639	6.6	2.86	7.11	2.83
NM_015045	1290	4030	2680	3590
NM_015368	507	601	823	610
NM_152341	253	485	347	328
NM_000196	43.7	124	85.2	106
NM_004543	125	119	171	203
AB037781	1240	1660	762	1090
AK026266	7.23	10.3	6.66	7.17
ENST00000273353	80.9	145	184	227
NM_004898	124	234	202	269
ENST00000338327	5.39	2.89	6.48	2.84
NM_031213	1620	2820	1950	2360
ENST00000371483	5.16	2.9	6.36	2.84
NM_020156	236	380	182	254
NM_018700	69.5	102	83.1	117
NM_002089	450	788	835	803
AA704487	4.72	2.92	6.16	3.66
NM_022753	1230	2400	1170	2020
ENST00000375587	155	245	151	207
AF090907	4.33	4.72	6.02	2.86
AK092094	34	53.1	31.5	65.7
A_32_P136427	599	950	669	798
NM_020773	4310	6290	3880	4910
RC5	4	2.95	5.93	2.86
A_32_P230059	15000	20500	16400	20400
BC031645	3.85	2.96	5.92	2.87
X75917	3.78	3.13	5.91	2.87
NM_018320	163	197	200	170
NM_030939	9660	17100	14200	18800
AK094972	7.58	6.38	5.93	2.88
NM_015475	478	491	565	499
NM_001001716	4310	4500	4100	2950
A_32_P205913	187	361	129	148
NM_018212	143	121	148	101
ETG10_13482	3.36	3.01	6.04	2.9
NM_207381	19.8	27.1	51.5	62.2
XM_929595	22.9	40.8	42.6	44.4
NM_170736	13.5	11.7	14.7	10.2
NM_181707	4.36	3.03	6.2	7.79
NM_001715	3.19	3.04	6.25	3.66
H43551	30.1	54.2	10.4	54.8
NM_024967	331	625	131	324
NM_007121	1170	1960	1560	2090
ETG04_27747	3.1	3.05	6.48	2.93
NM_198794	742	1440	483	1300
NM_014616	170	420	175	435
NM_145691	1260	2450	1210	2100
NM_020416	400	466	586	460
NM_024677	9.51	20.4	6.8	30.3
NM_003072	996	1540	1240	1330
NM_015423	2450	5460	1420	2410
BC063503	281	420	326	391
BC014384	2890	5810	3440	3720
NM_006884	592	720	970	842
NM_005334	199	438	254	321
DarkCorner	3.06	3.04	7.23	2.88
DarkCorner	3.07	3.03	7.28	2.86
DarkCorner	3.08	3.02	7.33	2.85
DarkCorner	3.1	3.01	7.36	2.83
DarkCorner	3.11	3	7.4	2.81
DarkCorner	3.12	2.99	7.42	2.79
DarkCorner	3.14	2.97	7.43	2.76
DarkCorner	3.16	2.95	7.44	2.74
DarkCorner	3.18	2.93	7.43	2.71
DarkCorner	7.06	2.64	6.61	2.64
DarkCorner	7.16	2.66	6.76	2.67
DarkCorner	7.25	2.68	6.89	2.69
DarkCorner	7.32	2.7	7	2.71
DarkCorner	7.38	2.72	7.1	2.72
DarkCorner	7.42	2.73	7.19	2.74
DarkCorner	7.44	2.75	7.25	2.75
DarkCorner	7.45	2.76	7.31	2.77
DarkCorner	7.44	2.77	7.35	2.78
