gene	neg.1	neg.2	day1.1	day1.2
NM_001005781	3300	4310	1970	3780
BC004969	25.4	40.9	15.7	43.2
BC004943	54.7	57.1	30.8	48
NM_015074	55.7	46	32.5	46.8
NM_032124	4400	6610	4690	8620
ENST00000374274	1200	1390	733	1240
NM_020877	15.2	22.9	7.6	14.9
AK091978	6.47	2.85	7.54	2.91
AF131798	6.39	4.7	7.47	3.74
A_24_P332441	14600	18700	8960	15700
ENST00000373656	332	425	107	265
CR607811	18	15.4	13.6	15.5
NM_152660	6.02	11.1	7.17	11
AL137566	10.5	11.8	13.8	12.3
AF211977	5.82	2.87	7.02	3.24
A_24_P470782	177	273	226	261
THC2328951	38.6	30.2	20.2	13.9
NM_014375	5.51	3.73	6.78	2.92
NM_003828	522	1070	569	802
AK123066	265	251	237	279
NM_031957	5.21	2.88	6.56	2.92
AF132206	5.12	2.89	6.49	2.92
CD104030	114	193	137	157
NM_032355	2240	3330	1930	2190
A_24_P409933	4.84	2.89	6.3	2.93
NM_018410	2670	6360	5300	7430
NM_003980	171	357	310	490
BC052613	33600	66500	42600	60700
NM_032977	5.92	6.19	6.1	6.31
NM_000572	5.48	5.47	6.06	4.53
NM_017785	6140	9990	7480	12100
NM_207307	65.3	69.2	85.2	89.8
NM_133459	4.2	2.93	5.97	2.95
NM_178500	4.79	4.16	5.94	5.76
THC2342112	103	87.1	106	110
AK090405	89.6	69.1	89.2	60.7
NM_002578	3.95	4.24	5.9	9.5
AF020589	12.4	5.6	20.7	8.03
NM_000415	23.5	24.6	32.7	24.3
NM_003998	2930	5040	3670	4970
A_24_P917001	3.75	2.98	5.91	2.99
NM_006925	11700	21700	16500	23700
NM_020939	74.9	141	171	220
NM_004721	50.1	44.3	58.1	58.6
A_32_P38806	36	32.1	50.6	29.7
NM_019851	3.57	3.02	6.01	3.03
NM_003622	1460	2940	996	2530
A_24_P264644	8010	14800	2410	6860
NM_019001	44	57.3	15.7	35.3
ENST00000375672	19.9	33.5	10.8	39.2
NM_052839	54.7	66.5	28.1	60.2
BC006258	36.6	32.4	16.5	28.1
NM_002316	22.3	37.2	44.6	32.3
NM_006114	1430	2910	693	1540
NM_058197	6050	9540	5830	11100
NM_004054	192	276	179	246
ENST00000325863	15.8	12.4	18.3	11.7
NM_198474	12.4	17.8	15.5	16.5
ENST00000369042	1310	2450	826	1640
NM_080764	141	106	75.8	68.6
NM_003973	53000	105000	46400	84800
NM_032378	61200	103000	55100	83600
AW874684	119	198	175	199
NM_001002912	3.45	3.13	12.7	3.1
NM_004097	186	329	249	298
BC039117	681	1110	635	951
NM_032718	204	291	157	227
NM_005990	1290	1890	648	1650
NM_001014	67600	116000	64100	103000
NM_003407	1260	2250	1660	1850
NM_031291	3.59	3.11	7.39	3.02
NM_015677	49.2	64.3	40.6	71.5
A_24_P58727	3760	7100	4590	6620
NM_080386	350	464	239	403
DarkCorner	3.71	3.07	7.43	2.94
A_24_P853410	438	664	507	634
NM_199071	457	728	555	772
THC2376817	21.4	51.8	38.4	78.2
NM_022087	128	414	293	523
A_24_P297798	2530	5920	1300	5180
ENST00000371156	6.86	24.6	7.76	27.3
NM_020904	6.87	9.27	7.79	20
BC064972	6.87	2.81	7.81	2.86
NM_001708	22	20.7	7.91	19.5
NM_032351	11300	15700	5170	11700
BC038997	6.79	2.83	7.8	2.88
AF316855	4620	5070	2990	4520
NM_014903	954	1650	867	1470
BC021996	6.64	7.7	7.69	5.52
BC042520	200	198	157	267
NM_032261	679	882	251	489
Z99394	18.3	15.8	7.51	12.4
ENST00000366964	6.33	2.86	7.44	2.91
BG209623	68.6	85.7	40	90.6
ENST00000361200	6.15	2.86	7.29	2.92
NM_013994	6410	7830	7330	12500
AK124576	293	499	563	889
NM_032784	24	21.6	27.1	19
AA436260	5.76	2.87	6.98	2.92
NM_002429	49.6	60.6	88.3	59
NM_018229	198	295	239	317
BC030522	5.46	2.88	6.75	2.92
NM_184086	14.6	25.4	16.5	21.1
NM_002182	29.6	38.4	75.7	62.5
NM_198056	5.16	2.88	6.53	2.92
NM_022365	1250	2950	1960	2740
NM_000384	4.97	2.89	6.39	2.93
NM_017798	11700	17700	14000	16300
NM_019596	4.79	2.89	6.28	2.93
NM_005264	28.8	72.7	69.6	141
NM_000959	4.53	5.46	6.12	12
NM_033226	4.45	2.91	6.08	2.94
BC035615	8.33	5.91	8.1	15
NM_018269	929	1440	1050	1520
NM_152339	9260	10400	9640	10800
NM_014207	22.7	17.2	36.3	19.3
NM_014597	8720	11400	7910	8600
NM_000319	415	730	438	602
XM_208373	7380	13400	6990	10600
AK023150	19.2	36	16.4	31.5
NM_000422	3.87	2.96	5.89	4.37
NM_001798	229	395	303	390
NM_198404	3.78	2.97	5.9	2.99
AK127156	14.8	15.3	27.6	12.2
NM_004689	30300	52500	36500	47700
AA279208	851	1300	1010	1260
NM_001008270	3.62	3.33	8.75	3.02
NM_173670	199	287	212	191
ENST00000269336	3.56	3.02	6.03	3.03
NM_014708	592	1050	511	948
NM_004405	438	645	185	285
NM_001013619	105	128	67.6	271
NM_000254	3040	5960	2000	5050
NM_203477	11200	18900	6770	15900
NM_005733	1380	3070	1820	4800
NM_198319	11700	15100	7940	11500
NM_080603	81.9	120	58.9	109
AK075127	3.42	3.09	6.47	3.09
BF689038	164	206	129	154
NM_005706	3080	4340	1890	3420
A_24_P307075	3850	7610	2940	6080
NM_032476	8930	17000	13300	17800
NM_130766	631	873	559	756
NM_021065	2040	2310	2400	2980
AK021800	266	414	350	431
N90434	21.5	37.3	36.4	34.4
NM_000372	3.47	3.13	7.07	3.1
NM_203403	78.3	117	175	127
NM_015167	1410	2060	1370	1740
NM_002812	35600	66300	31800	65300
AK075438	72.8	92.4	37.2	60.4
AK124841	7.01	8.25	9.49	11.8
NM_003688	234	394	256	418
NM_001014990	12700	21300	12800	17500
AK057142	4.52	5.61	7.42	4.8
NM_015509	185	308	232	261
NM_030756	11.6	11.6	7.44	6.33
DarkCorner	3.74	3.06	7.43	2.93
DarkCorner	6.44	2.7	7.17	2.71
NM_024649	85.9	152	49	140
THC2336826	6.63	4.92	7.43	4.06
AF119875	71.5	253	92.9	312
A_24_P919502	6.76	2.76	7.62	2.8
NM_144677	15.8	27.8	7.7	18
NM_000876	1250	2080	1600	2950
AA628674	6.85	7.83	7.79	3.91
NM_015666	1220	1130	893	834
THC2265840	533	559	349	623
NM_005914	2710	3850	1400	2970
NM_014286	2750	4420	2880	4720
ENST00000264903	263	249	189	318
NM_003341	6.71	2.83	7.76	2.89
NM_000619	6.65	2.84	7.72	2.9
NM_018702	123	131	69.7	85.4
A_24_P922314	6.52	2.85	7.61	2.91
BC035377	2510	2210	1770	2770
XM_496643	6.36	5.4	7.48	2.91
AL136736	931	1090	406	966
NegativeControl	6.18	2.86	7.34	2.92
NM_001003690	6980	8750	4520	8140
A_24_P922401	5.99	2.86	7.18	2.92
NM_153229	5.9	5.83	7.1	5.58
THC2277195	5.8	2.87	7.02	2.92
AK027069	9.5	17.6	30.8	22.3
AF118084	105	197	144	152
ENST00000343905	60.5	75.4	116	122
NM_000063	6.66	7.14	18.2	5.65
NM_006418	5.3	2.88	6.63	2.92
E1A_r60_a20	473	570	637	587
A_32_P194102	9.25	12.8	9.22	21.7
NM_001031617	351	437	351	366
CR609588	17.8	21.9	34.1	17.1
NM_000211	8.82	18.2	18.2	24.2
NM_001938	1010	1630	982	1250
NM_213631	4.66	5.53	6.19	5.06
NM_002439	597	1360	934	1390
NM_016373	621	829	858	1150
NM_198457	79.8	87.7	72.6	92.3
NM_145052	116	194	135	196
NM_017594	4.27	2.92	5.99	2.95
NM_001005472	51200	77600	47500	61400
AK026659	102	182	94.5	135
A_24_P585198	4.07	2.93	5.92	2.96
A_23_P123234	2160	3670	2580	3090
NM_021179	182	289	243	289
AK090442	86.2	89.8	124	79.2
NM_001883	26.3	20.7	42.5	24.2
THC2274391	904	1210	972	1080
CB240572	22.4	17.3	23.6	23
NM_005026	120	153	170	162
A_24_P923553	3.68	2.99	5.93	3.38
NM_017947	256	526	251	316
AK026718	4.41	3.56	7.12	3.81
NM_015127	1660	2670	2050	3990
NM_000779	3.55	3.02	6.04	3.04
NM_005653	1310	2090	654	1750
ENST00000307198	67.9	79.4	43.6	81.5
NM_152605	283	621	151	485
AU148296	3.47	3.06	6.22	3.07
NM_004380	374	476	221	551
NM_177559	194	306	130	230
ENST00000310176	13.8	15.9	15.4	18.6
NM_003646	127	227	127	221
NM_002592	6410	12600	5080	9750
AF274944	3.43	3.1	7.98	3.1
NM_030819	2180	3170	1410	2520
A_32_P119018	9.12	18.3	11.1	19.2
NM_002260	3.44	3.12	6.77	3.11
THC2343287	3.44	3.12	6.84	3.11
CF272540	3.45	3.13	6.9	3.44
E1A_r60_n9	46200	49900	31600	31600
AL517186	70.1	95.5	36.2	65.1
AA779418	3.5	3.13	7.1	5.3
AL161983	3.51	6.49	7.16	7
NM_000435	15.7	21.7	28.9	22
AW138500	3.55	6.71	7.27	3.27
ENST00000372146	2520	3710	2810	3700
A_24_P167059	3.6	4.98	7.35	3.16
NM_006638	4400	8450	3500	6670
ENST00000327386	3.65	3.11	7.41	3.02
NM_015274	785	1120	926	1320
THC2340020	3.71	5.08	7.44	4.38
NM_001001958	3.74	3.07	7.43	2.95
AL359650	28100	125000	44100	142000
NM_014905	201	187	82.4	149
AL133110	6.65	2.74	7.5	2.77
NM_138578	285	389	198	324
BC030757	175	248	129	247
AI523154	215	153	287	326
NM_017707	278	440	260	524
NM_001875	6.84	2.8	7.82	2.85
BM547933	6.83	2.8	7.84	2.86
NM_012385	127	103	138	213
NM_004858	44.2	77.7	42.3	107
A_24_P933940	109	166	66.3	130
NM_001849	375	617	639	1280
NM_003442	562	539	362	503
NM_004924	761	999	737	1140
NM_030926	1100	416	1080	731
NM_014235	361	433	200	322
NM_153442	6.39	2.85	7.52	2.91
NM_001124	5660	5940	1940	2790
NM_207378	6.22	2.86	7.38	2.92
AI825645	56.9	88.3	60.3	84.1
AK023797	14.8	19.2	10.5	17.8
NM_020182	16000	14700	17800	16000
NM_005791	4190	6520	4230	4920
NM_014997	193	280	171	226
ENST00000324928	7.67	5.24	6.9	4.54
NM_001618	4450	8650	5120	6720
NM_144694	84.3	167	121	96.4
NM_174894	8980	15300	12800	17100
ENST00000378770	9030	22000	15800	19000
A_24_P747721	5.15	2.88	6.53	2.92
NM_024306	7.04	18	10.4	26.3
NM_001295	4.87	2.89	6.33	2.93
AY358619	1660	2290	2070	2510
NM_014366	5340	8640	4160	4970
NM_172037	249	293	211	233
NM_152337	5.47	2.9	6.12	9.14
NM_024869	189	219	186	177
NM_001063	4.38	2.91	6.04	2.94
THC2377418	13	23.4	10.4	18.4
ENST00000342584	424	585	455	470
THC2307560	340	486	325	482
NM_001005354	201	318	177	247
NM_015216	1500	2680	1880	2910
NM_012213	718	1020	1090	1490
BE044472	322	471	189	218
R43026	6.23	3.22	8.04	3.13
AX721098	16.1	15.8	17.7	16.8
H41076	3.74	2.98	5.91	3
E1A_r60_n11	26500	24300	26800	24500
NM_022040	120	246	298	396
XM_372248	3.63	3	5.97	3.02
THC2348959	2550	3500	2790	3920
NM_006859	1980	3140	1380	1930
NM_015355	3660	6330	4600	6800
NM_001008397	1110	2070	467	1970
A_24_P489649	6	14.4	6.14	5.63
A_24_P410000	54.6	95.6	22.2	85.3
A_24_P367069	35100	64300	12700	53100
NM_001005234	11.1	5.28	6.29	4.84
THC2393026	3.45	3.07	9	3.09
NM_002977	29.4	72.2	41.9	83.3
THC2269145	77.5	121	125	276
AF130102	197	297	402	301
NM_006794	6.44	11.5	12.7	14.5
NM_032291	3.44	3.11	6.66	3.11
AK126887	737	1040	821	1100
NM_052953	3.45	3.12	6.8	3.11
THC2282727	3.46	3.12	6.87	3.11
NM_030978	6470	10500	4150	7860
NM_203472	485	416	542	276
NM_032477	36500	68800	39700	60200
NM_177963	10.5	14.5	14.3	19.7
A_24_P24806	1140	1980	1060	1520
A_32_P227158	17.4	21.7	27.9	44.2
NM_144582	103	181	127	168
NM_182908	380	360	290	187
NM_139282	3.63	3.12	7.37	3.05
NM_152322	3.66	4.03	7.4	5.59
NM_017993	39.5	59.8	27.6	36.2
AB023202	3.71	3.09	7.44	2.99
A_24_P110541	5340	8770	3290	6810
DarkCorner	3.77	3.07	7.43	2.94
DarkCorner	6.41	2.7	7.2	2.72
A_24_P306968	9430	17800	6750	15400
NM_000923	2160	5190	1000	4460
NM_004870	2650	3930	2190	4070
A_32_P166152	172	119	99.7	109
AA912913	25	30.1	13.4	25.5
THC2441771	6.8	2.78	7.78	2.83
NM_153698	605	1320	424	1260
NM_018556	6.82	11.2	11.9	16.3
NM_130847	418	673	359	661
NM_024055	6.77	4.03	7.83	2.88
NM_018045	5170	4730	5060	5970
NM_022122	6.68	2.83	7.78	2.89
NM_024565	399	519	223	427
CR602022	1790	2740	963	3300
A_24_P921871	6.49	2.84	7.62	2.91
NM_152533	67.8	76.1	39.8	68.2
AI420834	6.33	2.85	7.49	2.91
ENST00000304758	6.25	2.85	7.42	2.91
THC2397850	89.9	72	70.8	104
A_24_P169807	6.07	2.86	7.27	2.92
NM_012100	5670	6190	5280	6040
NM_024704	38.2	40.5	8.19	53.7
ENST00000358916	22.7	46.5	17	44.8
NM_015846	1070	2050	1610	2050
NM_015137	4470	5370	5990	7450
NM_005105	917	1320	752	942
NM_013412	4790	4850	3560	3670
NM_006642	50.4	170	155	236
NM_007272	19.1	26.6	49.5	22.1
NM_000770	5.1	2.88	6.49	2.92
AJ710526	5.01	4.3	6.43	6.79
NM_006290	114	158	217	267
NM_194302	1670	3180	2940	3810
NM_002981	4.74	10.6	13.9	13.9
NM_198447	4.65	4.32	6.19	3.79
NM_139075	215	284	335	374
NM_053277	4.49	2.9	6.1	2.94
NM_018485	103	86.3	123	78.5
NM_181054	660	978	732	1010
ENST00000380021	488	888	559	843
NM_014646	660	1010	880	1310
L06522	4.14	2.92	5.94	2.96
NM_018843	610	895	826	1190
NM_002280	15.6	10.2	14	9.29
NM_006636	9930	17400	9040	10800
NM_002290	60.4	131	99.8	187
NM_015229	468	600	396	391
NM_178510	63700	96300	67200	82400
ENST00000306733	737	1180	488	727
NM_014271	7.75	8.12	12.6	12.4
NM_012091	632	1000	743	937
AL833005	288	375	268	222
NM_003717	1640	1720	1920	1980
NM_018555	387	515	339	396
NM_021174	795	983	529	720
BE184906	68	109	42.2	117
A_24_P928705	5.89	4.9	6.12	3.06
NM_001031679	95.2	139	53.5	167
BE143376	3.49	3.05	6.21	3.07
NM_005707	865	1450	613	1100
NM_000480	24.2	50.3	56.3	94.3
NM_004418	238	324	133	128
A_24_P233560	376	710	430	890
NM_018323	1110	2540	1340	2940
NM_005572	42300	79300	39800	83800
NM_001001965	3.45	6.48	6.63	3.11
NM_015216	1310	2670	1950	2950
NM_152992	1420	1970	1150	1780
NM_002842	1010	1200	939	1300
NM_006197	3860	6940	3910	7610
A_24_P375586	3.49	8.5	6.97	3.11
NM_017898	3.5	3.13	9.55	3.11
NM_032105	307	574	490	759
THC2286912	3.54	3.13	7.16	3.1
NM_003437	116	160	134	169
BC042853	768	755	673	660
NM_181597	60.5	109	34.4	49.6
THC2322443	106	166	146	287
THC2340838	480	678	488	989
NM_018414	3.71	3.1	7.43	3
NM_019043	3.75	3.61	7.44	9.94
NM_014060	5050	10400	5260	8460
NM_021966	22	35.5	16.6	32.6
NM_006211	6.54	2.73	7.42	2.75
NM_006576	27	9.26	14.1	12.7
NM_134442	115	178	60.2	154
NM_002116	3580	6190	3900	7630
NM_178349	6.77	2.78	7.76	2.82
A_24_P306704	22100	31900	9160	15700
A_24_P349547	551	1230	419	1320
NegativeControl	6.8	2.8	7.86	2.86
ENST00000361761	46.3	95.7	28.4	71.5
NM_032236	3880	4850	3690	5440
NM_014234	799	1270	645	1150
NM_004761	4300	5570	3060	5700
NM_014795	223	343	280	557
NM_022745	799	1170	579	1250
BU567141	158	206	56.9	155
NM_000021	2490	2500	1890	2760
A_24_P935852	20.7	102	7.53	71.1
A_32_P64832	141	147	103	225
AI359055	6.19	2.85	7.39	2.92
BC031973	23.3	29	7.31	30.7
NM_013989	22.6	25	16.3	37.5
NM_006583	191	213	152	201
NM_024874	397	550	427	509
NM_015714	28200	58900	33000	44800
CR936609	5.62	2.86	6.91	2.92
AF116714	5.52	2.87	6.83	2.92
AK124426	163	213	183	172
NM_175850	851	1500	2270	2430
A_24_P187298	5.23	4.22	6.6	5.34
NM_182764	25.1	52.7	56.9	62.6
BQ130701	91.4	120	78.6	82.8
NM_080832	4.95	2.88	6.39	2.93
NM_001429	40.3	34.3	46.1	28.5
NM_024595	1000	1760	1060	1090
AI457687	54.4	94.2	72	81.4
BC040596	15	23	18.9	21.9
NM_020237	4.53	2.9	6.12	2.94
A_24_P238819	29	46.1	22.6	45.3
NM_017947	300	525	248	318
NM_206948	4.31	2.91	6	2.95
NM_002890	590	1200	669	1240
THC2436745	448	603	843	1180
AK074473	30.1	41.7	30.2	40.8
NM_173680	1250	1670	1460	1870
NM_002644	3.99	4.83	5.9	2.97
BC013792	1120	1600	1240	1570
NM_005744	256	500	239	387
NM_020409	11700	19700	10500	14800
BC069198	145	156	202	158
NM_018559	224	461	245	423
NM_000694	177	251	277	365
AK057591	580	889	727	841
NM_000932	238	338	286	331
NM_002091	9.02	11.4	5.99	8.27
NM_001679	29000	43900	13600	40000
A_32_P4038	3.56	3.02	6.06	3.05
NM_000059	41.1	62.9	17.7	65.5
NM_016399	1930	3400	794	3180
NM_003031	432	667	296	662
X98562	13.5	13.8	6.66	8.24
NM_001040105	4.05	3.06	12.7	3.08
A_32_P26536	3.47	3.07	6.35	3.09
THC2341118	12.9	17	8.97	11.3
AF067420	5.06	6.74	12.6	8.55
NM_181840	3.46	3.09	8.62	3.11
NM_020443	87.8	129	102	171
ENST00000332534	4280	6690	3780	5970
NM_012387	3.47	3.11	13.3	3.12
THC2439736	6.44	9.64	9.52	8.76
NM_007118	455	792	506	717
AK098414	3.5	3.13	6.93	3.12
A_32_P80587	96	139	79.3	143
BC107852	3.53	3.53	17.5	3.11
ENST00000305402	25.9	44.4	66.8	96.2
S78695	20.1	31.1	22.3	29.1
NM_001412	1140	1770	631	921
NM_007145	116	164	68.5	101
AF028840	3.63	3.12	7.34	3.07
NM_007372	2580	4190	3230	4140
AL831839	37.2	30.2	31.7	35.7
NM_199045	818	1150	820	1270
A_24_P681563	679	1120	395	941
DB318193	32.4	41	16.3	51.1
DarkCorner	3.81	3.07	7.43	2.95
BC012036	6.38	8.93	7.24	10.4
A_24_P930337	18.3	24.2	18.5	42.7
NM_003770	6.56	2.73	7.49	2.76
NM_018660	668	782	570	934
NM_173198	273	257	180	189
NM_024825	15.2	22.5	7.75	24.8
S80864	1530	1290	897	1130
A_32_P448975	6.78	2.79	7.84	2.84
A_24_P16071	449	798	382	742
NM_018291	812	1670	783	2700
NM_138715	6.76	2.81	7.87	2.87
ENST00000367545	2080	3380	1870	3210
NM_014345	25.8	33.2	14.6	30.2
NM_152754	6.65	2.83	7.79	2.89
NM_021173	3730	4030	2760	4220
AF085848	340	354	293	343
NM_001101	26600	32600	19000	31100
AK055647	6.39	2.84	7.57	2.91
NM_000428	766	1070	684	1120
AW946823	1050	1230	946	1550
A_24_P118411	60.2	74.7	15.1	46.9
NM_152744	14.5	19.4	7.27	15.5
L24521	5.95	2.85	7.19	2.92
BC063381	87.9	97.9	59.6	96.6
NM_000101	3160	3560	3660	4650
NM_013312	698	1030	1080	1300
BC068047	113	126	152	116
NM_013377	5.47	2.86	6.79	2.92
NM_013449	822	620	741	570
AK057217	6.35	5.4	6.64	6.62
NM_138450	5.18	2.87	6.56	2.92
NM_001005404	18.3	26	43.8	43.5
NM_002649	29.3	55.5	35.1	43.3
A_24_P289865	27.3	72.1	49.5	73.9
NM_002198	412	625	721	767
NM_005046	4.73	2.88	6.25	2.93
NM_017785	5000	9680	7550	11800
NM_001344	12600	16900	14800	18300
NM_080879	121	127	144	132
NegativeControl	4.41	2.9	6.06	2.94
NM_002531	1310	2270	1720	2450
A_24_P924791	4.27	2.91	5.99	2.95
NM_032025	1710	2750	1460	1850
A_24_P575267	4.14	2.92	5.94	2.96
ENST00000355436	41.6	57.1	35.8	45.4
ENST00000367612	2110	2840	2010	2470
NM_016085	2800	4770	3380	5070
NM_030981	124	150	134	132
NM_003846	457	816	367	646
NM_001658	9050	14300	8330	11700
NM_018946	4870	7690	5340	7200
AI369133	76.8	104	104	104
A_32_P207986	113	204	115	124
NM_012252	3.67	2.99	9.24	3.02
NM_031901	9690	15800	8040	13600
CR936796	57.7	83.9	38.2	91.3
NM_023929	3.58	3.3	6.04	3.05
NM_001781	3.56	3.02	6.08	3.05
THC2373625	2610	2850	1300	3140
NM_015897	808	998	589	786
BC006267	2680	4300	2990	6510
NM_139076	191	403	106	304
NM_015266	161	218	170	280
ENST00000273075	150	224	165	193
AK126966	127	164	106	142
NM_001110	191	330	255	407
NM_007177	3.47	8.37	8.03	3.11
NM_015904	662	1170	480	920
NM_021146	3.48	3.11	7.74	3.12
NM_197975	3.48	3.11	6.76	3.12
AL110179	513	1080	538	1040
A_24_P289854	3.5	3.12	6.9	3.12
NM_182524	304	398	255	382
NM_138619	719	1260	331	739
AL137653	113	123	126	108
RC12	3.57	3.13	11	3.11
AK024184	6.16	9.59	12.7	13.5
THC2400010	1380	3280	1530	3030
NM_002706	1260	2360	1830	2600
CN358250	3.66	3.12	7.36	3.06
NM_012418	32.1	35.9	15.1	37.1
A_24_P67494	1310	2220	1040	1940
NM_182314	57.4	59.9	33.1	46.3
BX100088	460	568	281	614
NM_000999	160000	244000	135000	216000
NM_005160	75.4	92.3	38.5	83
NM_000366	12000	23200	6580	16200
AK001179	1960	3050	1890	4000
NM_139067	12400	14300	9580	14100
NM_000820	562	925	619	1170
NM_003992	314	460	205	429
NM_016207	1140	1870	558	1690
BX108033	6.77	12.2	23.4	10.7
ETG09_48764	6.77	2.8	7.88	2.86
CR610949	6.76	2.81	7.88	2.87
BE881987	18	22.7	16.2	26.5
NM_152897	268	404	283	408
NM_000923	2260	5290	2200	4650
NM_006736	11700	8310	9660	10500
A_24_P229807	6.55	15.1	7.73	11.6
NM_006711	561	648	226	439
D31888	1830	2360	1390	3090
A_23_P136595	36.7	90.1	8.35	67.9
A_32_P228601	110	144	77.9	125
NM_002830	30.1	37.2	11.2	35.4
NM_014288	1620	2300	847	2100
NM_000575	5.99	2.85	7.24	2.92
BC040702	2740	4300	2090	3880
NM_002439	941	1770	969	1810
THC2423326	15.9	15.5	6.99	10.3
NM_016020	2090	4060	2680	3760
NM_003777	5.7	2.86	6.83	2.92
NM_006941	7.57	2.86	7.67	2.92
J02940	15.1	11.2	12	17.1
NM_022486	219	546	681	1030
NM_019043	5.13	4.56	6.53	2.92
NM_003262	29.7	34	19.6	22.7
AL137569	4.95	2.87	6.39	2.93
NM_000700	10800	24400	17000	27200
NegativeControl	4.77	2.88	6.27	2.93
RC11	4.69	2.88	6.22	2.93
NM_005175	17300	32000	19400	28200
ENST00000377022	6.93	2.89	6.12	2.94
NM_001988	813	901	814	817
NM_015252	374	482	414	429
NM_003742	4.31	2.9	6	2.95
NM_001008391	5.9	7.19	5.97	4.68
NM_014172	17900	29000	21100	31400
AK023447	18.2	25.8	20.4	29.2
A_24_P464963	4.05	3.33	5.91	2.97
NM_203374	951	1110	983	1250
NM_022783	61.1	106	99.7	127
NM_003190	3560	4080	5140	6590
NM_015367	1900	2680	2460	2970
NM_174924	3.8	2.96	5.89	3
NM_005941	36.4	48.3	47.1	41.1
NM_002086	7130	9970	8050	9510
A_24_P683553	6.29	3.6	6.8	4.09
AK094893	65.2	152	61.4	172
AI433842	31.9	26.7	16.7	26.2
A_32_P202778	409	565	211	593
NM_014393	364	711	281	930
NM_007035	3.55	3.03	6.09	3.06
A_23_P75129	19.2	27.9	11	31.9
NM_181482	3.52	3.04	6.18	3.07
NM_152261	4490	7350	3750	7690
NM_006300	149	222	114	206
NM_178006	76.7	138	73.6	129
NM_012073	80.9	184	65.3	137
BX538015	3460	6430	2140	4270
NM_016229	52	49.4	64.3	71.1
NM_005938	10.3	15.7	27.8	13.3
NM_000511	9.95	16.6	15.5	14.6
ENST00000370599	3.49	3.11	6.73	3.12
AY927536	306	416	255	430
AK022424	3.51	7.03	8.36	3.91
NM_024727	3.52	3.12	6.93	3.12
NM_020680	16800	28100	11500	18300
A_32_P139311	89.8	135	74.5	105
NM_005716	1610	2620	1010	1550
RC6	3.59	3.13	7.19	3.1
A_32_P76122	49.4	73.4	42.5	70.6
AK021848	466	696	489	702
NM_199341	3620	4260	3290	3470
NM_018259	133	183	151	169
M31157	21.9	36.7	9.33	21.9
U35612	305	494	254	468
A_23_P207233	3.78	6.01	46.7	4.58
NM_016184	80.1	64.6	70	68.4
NM_001008274	24.7	33.7	10.4	28.9
NM_173470	4410	5800	2060	3930
N47124	246	46.1	38.1	54.3
NM_004078	126	266	115	274
BC006177	1070	1780	840	1500
NM_001004715	6.7	2.77	7.77	2.81
NM_058188	57.7	87.1	50.6	110
NM_004502	244	205	140	156
NM_182681	6.75	7.83	12.3	2.85
THC2342624	6.75	16	7.89	7.95
CR749800	76.3	178	66.5	172
AK055302	6.7	7.27	7.87	10.9
NM_003974	6.66	6.94	7.84	2.89
NM_002737	47.3	88.8	56.6	86.4
NM_020825	31.7	32.5	11.7	25
BC010535	831	1030	539	1010
NM_032370	136	156	103	153
NM_032935	6.36	2.84	7.58	2.91
A_32_P194740	6.28	10.2	7.51	7.6
NM_032290	934	1130	827	1220
NM_013245	6060	6320	4580	5490
NM_001024457	58.2	42.7	20	44.1
NM_152666	13.9	16.7	7.2	21.7
NM_033427	69.5	85.7	71.1	130
AF116706	5.74	2.85	7.03	2.92
NM_003810	14	6.5	8.97	6.41
A_32_P47474	5.55	2.86	6.87	2.92
AK026140	124	173	232	243
NM_022754	29.5	48.7	35	39.3
X89399	90	135	138	133
A_32_P152696	1620	3550	3770	4580
NM_005060	5.08	2.87	6.49	2.93
NM_018938	10.9	9.08	6.82	10.5
NM_005230	278	575	385	425
THC2342544	88.8	142	98.3	139
AX721128	40.3	86.2	66.8	78.4
AK024602	40.2	91.1	52.1	79
A_24_P92844	4.56	3	6.14	4.38
NM_005558	4.49	2.89	6.1	2.94
ENST00000339700	48.7	35.7	40.6	31.3
NM_016561	333	377	293	303
NM_001955	63.8	57.2	44.5	31.2
NM_000038	24.8	35.3	19.1	28.4
ENST00000361266	30.6	29.1	42.5	26.4
ENST00000375077	13.3	15.3	27.8	45.1
NM_016563	4.03	2.93	5.9	2.97
THC2437143	3.97	2.93	5.89	2.98
ENST00000292357	6.31	19.8	6.83	13.2
NM_014497	35.8	45.9	29.5	37.8
NM_004622	3330	5630	3650	5220
NM_000202	285	403	422	541
NM_001922	45.3	80	85	65.4
ENST00000308862	28.8	33.1	28.8	34.3
NM_004656	1770	2420	2260	2550
NM_006031	2940	5050	3610	5490
NM_052997	3.62	3	6	3.04
NM_000143	4450	7290	2390	6590
AK026304	3.57	3.02	6.07	3.05
ENST00000166133	27.3	43.7	14.8	46.3
NM_005236	8.74	17.5	6.16	29.3
NM_003861	398	545	400	627
NM_004519	38.4	39.6	28.6	37.3
NM_052949	86.3	128	94.3	123
THC2377351	3.49	3.07	6.37	3.1
BC034623	36.3	32.2	32.2	29
NR_000029	22900	39100	20900	32300
NM_001904	2230	3570	2390	4360
AB210045	11.2	18.6	6.63	15.3
NM_017572	1610	2820	2130	3850
NM_016647	312	557	507	640
AF193050	3.51	3.12	6.83	3.12
NM_012177	2110	4210	2690	4590
ETG10_236652	3.54	3.13	8.45	3.12
CR621132	134	265	108	275
NM_002421	3380	8630	1310	3720
